epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1492.17,2.09721,3.46339,1.44876,0.3145,0.32963,0.23243,0.07298,2.36177,4.03085,1.78491,0.000676802,0.000676802,0.000676802
62,1520.39,2.06789,3.46283,1.47394,0.35895,0.28678,0.22857,0.06539,2.3616,4.65887,1.85178,0.000660299,0.000660299,0.000660299
63,1546.55,2.04576,3.38276,1.47677,0.32881,0.30682,0.22834,0.06933,2.43253,3.82719,1.8898,0.000643795,0.000643795,0.000643795
64,1572.81,2.08585,3.32212,1.46785,0.30587,0.3061,0.21135,0.06431,2.74964,4.59833,2.13967,0.000627292,0.000627292,0.000627292
65,1599.68,2.14719,3.59933,1.50768,0.27254,0.33281,0.22514,0.0726,2.43089,3.81277,1.89626,0.000610789,0.000610789,0.000610789
66,1625.79,2.10459,3.46838,1.46129,0.26513,0.30648,0.22511,0.07313,2.23559,4.02446,1.73337,0.000594286,0.000594286,0.000594286
67,1651.37,2.06878,3.37154,1.45665,0.28211,0.33315,0.2124,0.0674,2.42972,4.23441,1.87024,0.000577782,0.000577782,0.000577782
68,1677.65,2.0647,3.48905,1.49195,0.28391,0.28996,0.20224,0.06319,2.49037,4.00099,1.84642,0.000561279,0.000561279,0.000561279
69,1703.21,2.06321,3.33804,1.43395,0.28786,0.30015,0.19865,0.06392,2.41394,3.9724,1.92689,0.000544776,0.000544776,0.000544776
70,1731.08,2.06366,3.36317,1.46188,0.26565,0.37599,0.22261,0.06787,2.46219,3.777,1.96109,0.000528272,0.000528272,0.000528272
71,1757.41,2.04885,3.35332,1.4406,0.30989,0.32509,0.21164,0.06968,2.43136,3.81729,1.91916,0.000511769,0.000511769,0.000511769
72,1783.64,2.04644,3.26517,1.42762,0.37741,0.30086,0.23202,0.06928,2.4668,3.8729,1.96391,0.000495266,0.000495266,0.000495266
73,1807.54,2.06085,3.20501,1.40412,0.27227,0.28952,0.207,0.06561,2.68845,4.00594,2.0014,0.000478762,0.000478762,0.000478762
74,1834.52,2.08545,3.33915,1.41767,0.27597,0.32079,0.20631,0.06478,2.71605,3.85988,2.08707,0.000462259,0.000462259,0.000462259
75,1861.73,2.04433,3.2443,1.41608,0.33968,0.30438,0.22067,0.06752,2.51875,4.13746,2.01072,0.000445756,0.000445756,0.000445756
76,1889.92,1.99157,3.23475,1.43427,0.30922,0.31243,0.22206,0.06803,2.59577,4.15503,2.00184,0.000429253,0.000429253,0.000429253
77,1914.1,2.04342,3.28776,1.42948,0.31812,0.33315,0.21135,0.06667,2.49849,4.30967,1.96543,0.000412749,0.000412749,0.000412749
78,1942.44,2.00313,3.21672,1.42707,0.25796,0.33876,0.21364,0.06332,2.46496,4.91135,1.96207,0.000396246,0.000396246,0.000396246
79,1968.29,2.05785,3.34779,1.4413,0.36247,0.25934,0.21603,0.06858,2.51028,4.69756,1.94955,0.000379743,0.000379743,0.000379743
80,1996.37,1.97248,3.12226,1.39196,0.39991,0.297,0.23641,0.07689,2.48133,3.95733,1.93436,0.000363239,0.000363239,0.000363239
81,2024.45,1.97189,3.11242,1.4267,0.33553,0.3197,0.23446,0.0725,2.55648,4.21516,1.9833,0.000346736,0.000346736,0.000346736
82,2052.39,1.99722,3.17427,1.41789,0.34401,0.27429,0.23087,0.07562,2.57022,4.62128,1.98156,0.000330233,0.000330233,0.000330233
83,2079.31,1.99169,3.05231,1.39608,0.31072,0.30963,0.2286,0.07097,2.51859,4.71646,1.9735,0.000313729,0.000313729,0.000313729
84,2105.88,1.99124,3.06175,1.37707,0.4029,0.28858,0.22446,0.0715,2.62839,4.14601,1.99605,0.000297226,0.000297226,0.000297226
85,2132.6,2.02049,3.12477,1.40052,0.38233,0.30262,0.23156,0.07567,2.59852,3.98639,1.96363,0.000280723,0.000280723,0.000280723
86,2161.11,1.9835,3.08729,1.3934,0.27983,0.35176,0.23167,0.06911,2.75144,3.95333,2.09018,0.00026422,0.00026422,0.00026422
87,2188.19,1.93864,3.0072,1.38162,0.33665,0.32261,0.21714,0.06558,2.85384,3.93589,2.1789,0.000247716,0.000247716,0.000247716
88,2214.24,1.94277,3.07777,1.41543,0.34908,0.31114,0.20024,0.0656,2.69871,4.20809,2.0207,0.000231213,0.000231213,0.000231213
89,2242.41,1.9501,3.10314,1.41029,0.35572,0.30074,0.20879,0.06737,2.64457,4.41464,1.98802,0.00021471,0.00021471,0.00021471
90,2270.62,1.98343,3.10882,1.42483,0.36164,0.30086,0.20905,0.06926,2.69553,4.27494,2.05706,0.000198206,0.000198206,0.000198206
91,2294.98,2.01587,3.55285,1.48045,0.37566,0.28015,0.21595,0.06777,2.75511,4.35995,2.13232,0.000181703,0.000181703,0.000181703
92,2321.36,2.00089,3.3822,1.48634,0.3609,0.29243,0.20616,0.06607,2.87206,4.38682,2.23479,0.0001652,0.0001652,0.0001652
93,2348.22,1.90868,3.12884,1.4632,0.31838,0.297,0.21979,0.07037,2.54902,4.41731,1.97513,0.000148696,0.000148696,0.000148696
94,2373.27,1.93636,3.09554,1.4814,0.38748,0.28393,0.21812,0.07331,2.42399,4.21441,1.90887,0.000132193,0.000132193,0.000132193
95,2398.75,1.85907,2.96383,1.42711,0.36245,0.31066,0.21868,0.07273,2.46809,3.9775,1.98456,0.00011569,0.00011569,0.00011569
